Longitude,Latitude,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Title,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,imagefile,filepath
-73.94972177,40.79651701,42I-PM-1014-03,42I,PM,10142018,3,,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9497217674555 40.796517007214),sq_americanpastoral.jpeg,images/sq_americanpastoral.jpeg
-73.94984217,40.79693974,42I-PM-1014-02,42I,PM,10142018,2,Adult,Cinnamon,White,Cinnamon+White-  ,,Above Ground,8,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9498421746221 40.7969397424182),sq_americanred.jpeg,images/sq_tailtime.jpeg
-73.95001676,40.79661858,41I-AM-1018-01,41I,AM,10182018,1,Juvenile,Cinnamon,Gray,"Cinnamon+Gray-  cautious,observant,runs off",,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"cautious,observant,runs off",POINT (-73.9500167570283 40.7966185836685),sq_blackfur.jpeg,images/sq_yep.jpeg
-73.95014572,40.79709436,42I-PM-1014-01,42I,PM,10142018,1,Adult,Cinnamon,Gray,Cinnamon+Gray-  ,,Ground Plane,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9501457233643 40.797094356558),sq_caughtinact.jpeg,images/sq_hihoney.jpeg
-73.95017625,40.79755341,42H-PM-1014-05,42H,PM,10142018,5,Adult,Gray,White,Gray+White-  ,,Above Ground,15,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9501762527462 40.7975534086077),sq_classic.jpeg,images/sq_classic.jpeg
-73.95024663,40.79592288,41I-AM-1018-02,41I,AM,10182018,2,Juvenile,Gray,,Gray+-  runs off,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,runs off,POINT (-73.9502466289084 40.7959228779883),sq_crazyhair.jpeg,images/sq_hmmmf.jpeg
-73.95035333,40.79765436,42H-PM-1014-04,42H,PM,10142018,4,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Above Ground,15,,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9503533343658 40.7976543603953),sq_demureingrass.jpeg,images/sq_isthistheparty.jpeg
-73.95046935,40.79722544,42H-AM-1019-01,42H,AM,10192018,1,Adult,Cinnamon,White,Cinnamon+White-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9504693544225 40.797225436004),sq_ethelmermon.jpeg,images/sq_americanpastoral.jpeg
-73.9506063,40.79761895,42H-PM-1014-03,42H,PM,10142018,3,Adult,,,+-  ,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9506062997507 40.7976189496674),sq_funsquirrel.jpeg,images/sq_funsquirrel.jpeg
-73.950714,40.7957701,41I-PM-1017-01,41I,PM,10172018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,Cinnamon oval on back,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9507140045973 40.7957700986293),sq_graymajestic.jpeg,images/sq_hmmmf.jpeg
-73.95076997,40.7955166,40I-AM-1018-02,40I,AM,10182018,2,Adult,Cinnamon,,Cinnamon+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9507699667119 40.795516603955505),sq_heybaby.jpeg,images/sq_classic.jpeg
-73.9507773,40.7949189,40I-PM-1013-01,40I,PM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Above Ground,7,,FALSE,FALSE,FALSE,TRUE,FALSE,eating (berries),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9507772992986 40.7949188960194),sq_hihoney.jpeg,images/sq_hihoney.jpeg
-73.95082756,40.79757907,42H-PM-1014-02,42H,PM,10142018,2,Adult,Gray,White,Gray+White- Running along stone ledge ,,Above Ground,,Running along stone ledge,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.950827557335 40.797579073666),sq_hmmmf.jpeg,images/sq_hmmmf.jpeg
-73.95096282,40.79777757,42H-PM-1014-01,42H,PM,10142018,1,Adult,Cinnamon,Gray,Cinnamon+Gray-  ,,Above Ground,2,,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9509628195532 40.7977775674178),sq_intreewinter.jpeg,images/sq_tailtime.jpeg
-73.95107476,40.79731068,42H-AM-1019-02,42H,AM,10192018,2,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9510747586301 40.7973106833951),sq_isthistheparty.jpeg,images/sq_isthistheparty.jpeg
-73.95111187,40.79508133,40I-AM-1018-01,40I,AM,10182018,1,Adult,Cinnamon,,Cinnamon+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,begging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9511118711108 40.7950813345902),sq_justsnackin.jpeg,images/sq_classic.jpeg
-73.95121209,40.79479453,39I-PM-1013-01,39I,PM,10132018,1,Adult,Gray,,Gray+- along the road ,,Ground Plane,FALSE,along the road,FALSE,FALSE,FALSE,TRUE,FALSE,digging,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9512120949478 40.7947945266515),sq_littlebeauty.jpeg,images/sq_littlebeauty.jpeg
-73.95134778,40.79452596,39I-PM-1013-02,39I,PM,10132018,2,Juvenile,Gray,,Gray+- along the road ,,Ground Plane,FALSE,along the road,FALSE,TRUE,TRUE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9513477815203 40.7945259614138),sq_notpleased.jpeg,images/sq_isthistheparty.jpeg
-73.95141113,40.79750859,42G-AM-1018-01,42G,AM,10182018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,POINT (-73.9514111329059 40.797508587289705),sq_readyformycloseup.jpeg,images/sq_readyformycloseup.jpeg
-73.95144805,40.79739516,42G-AM-1018-02,42G,AM,10182018,2,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.951448051873 40.7973951649254),sq_ruddywarm.jpeg,images/sq_hihoney.jpeg
-73.95159078,40.79526842,40H-AM-1017-02,40H,AM,10172018,2,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.95159077962161 40.7952684235477),sq_snowtime.jpeg,images/sq_isthistheparty.jpeg
-73.95175251,40.79744076,42G-PM-1014-02,42G,PM,10142018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Above Ground,14,,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9517525111679 40.7974407641075),sq_strollin.jpeg,images/sq_youcaughtme.jpeg
-73.95180081,40.79537381,40H-AM-1017-01,40H,AM,10172018,1,Adult,Gray,Cinnamon,Gray+Cinnamon- base of tree ,,Ground Plane,FALSE,base of tree,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9518008149564 40.7953738093588),sq_tailtime.jpeg,images/sq_tailtime.jpeg
-73.95190816,40.79731487,41G-AM-1013-02,41G,AM,10132018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9519081627768 40.7973148719421),sq_treewalk.jpeg,images/sq_hihoney.jpeg
-73.95193879,40.79362736,38I-PM-1014-04,38I,PM,10142018,4,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9519387881692 40.7936273636929),sq_whatsup.jpeg,images/sq_hmmmf.jpeg
-73.95196399,40.79499117,39H-AM-1007-01,39H,AM,10072018,1,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9519639918804 40.7949911702392),sq_winterwintner.jpeg,images/sq_winterwintner.jpeg
-73.95196525,40.79381676,38I-PM-1014-03,38I,PM,10142018,3,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White-  ",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,POINT (-73.951965247933 40.7938167628067),sq_yep.jpeg,images/sq_yep.jpeg
-73.95200247,40.79473298,39I-PM-1013-04,39I,PM,10132018,4,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,Gray & Cinnamon selected as both Primary and Highlights. Made executive adjustments.,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.95200246546021 40.7947329828155),sq_youcaughtme.jpeg,images/sq_youcaughtme.jpeg
-73.952028,40.7946345,39I-PM-1013-03,39I,PM,10132018,3,Adult,Gray,,Gray+-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,POINT (-73.9520280004414 40.7946345014466),sq_zombiewalk.jpeg,images/sq_hmmmf.jpeg
-73.95205925,40.79750763,42G-PM-1014-03,42G,PM,10142018,3,Adult,Cinnamon,Gray,Cinnamon+Gray- on fence ,,Above Ground,4,on fence,TRUE,FALSE,FALSE,FALSE,FALSE,prancing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9520592496349 40.7975076299811),sq_americanpastoral.jpeg,images/sq_americanpastoral.jpeg
-73.95211102,40.79784491,42G-AM-1018-03,42G,AM,10182018,3,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,stop to look at me—then ran,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9521110154872 40.7978449143313),sq_americanred.jpeg,images/sq_yep.jpeg
-73.95215147,40.79495152,39H-PM-1013-03,39H,PM,10132018,3,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,POINT (-73.9521514669041 40.7949515182825),sq_blackfur.jpeg,images/sq_tailtime.jpeg
-73.95216554,40.79487855,39H-AM-1007-04,39H,AM,10072018,4,Adult,Cinnamon,Gray,Cinnamon+Gray-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9521655419974 40.7948785497717),sq_caughtinact.jpeg,images/sq_isthistheparty.jpeg
-73.95219501,40.79493734,39H-PM-1013-01,39H,PM,10132018,1,Adult,Gray,White,Gray+White-  ran away when a human approached with a dog,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,ran away when a human approached with a dog,POINT (-73.9521950056404 40.794937340845),sq_classic.jpeg,images/sq_classic.jpeg
-73.95221424,40.79495985,39H-PM-1013-02,39H,PM,10132018,2,Juvenile,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9522142360388 40.7949598486683),sq_crazyhair.jpeg,images/sq_readyformycloseup.jpeg
-73.95222916,40.79769854,42G-PM-1014-01,42G,PM,10142018,1,Adult,Gray,White,Gray+White-  ,,Above Ground,8,,FALSE,FALSE,TRUE,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9522291603405 40.7976985385835),sq_demureingrass.jpeg,images/sq_yep.jpeg
-73.95226777,40.79340348,38I-AM-1019-02,38I,AM,10192018,2,Adult,Cinnamon,Gray,Cinnamon+Gray-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9522677657659 40.7934034811368),sq_ethelmermon.jpeg,images/sq_ethelmermon.jpeg
-73.95227045,40.79656689,41G-AM-1013-01,41G,AM,10132018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.9522704511969 40.7965668878961),sq_funsquirrel.jpeg,images/sq_funsquirrel.jpeg
-73.95230018,40.7949231,39H-AM-1007-02,39H,AM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,POINT (-73.9523001834395 40.7949231000186),sq_graymajestic.jpeg,images/sq_classic.jpeg
-73.95241323,40.79337776,37I-AM-1010-05,37I,AM,10102018,5,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,POINT (-73.95241322956582 40.7933777553406),sq_heybaby.jpeg,images/sq_isthistheparty.jpeg
-73.95243641,40.79284651,37I-PM-1006-01,37I,PM,10062018,1,Adult,Cinnamon,"Gray, Black","Cinnamon+Gray, Black-  ",,Above Ground,5,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9524364087437 40.792846505434),sq_hihoney.jpeg,images/sq_hihoney.jpeg
-73.95244908,40.79360032,38I-AM-1019-01,38I,AM,10192018,1,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9524490779105 40.7936003219524),sq_hmmmf.jpeg,images/sq_hmmmf.jpeg
-73.95252616,40.79637592,40G-AM-1007-02,40G,AM,10072018,2,Juvenile,Cinnamon,Gray,Cinnamon+Gray-  ,,Above Ground,18,,TRUE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.952526164386 40.7963759240504),sq_intreewinter.jpeg,images/sq_youcaughtme.jpeg
-73.95256271,40.79386029,38I-PM-1014-02,38I,PM,10142018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White- hanging out w/ Squirrel #1 ",,Ground Plane,FALSE,hanging out w/ Squirrel #1,FALSE,FALSE,FALSE,FALSE,FALSE,scampering w/ squirrel #1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9525627119429 40.7938602867464),sq_isthistheparty.jpeg,images/sq_isthistheparty.jpeg
-73.95256991,40.79371258,38I-PM-1014-01,38I,PM,10142018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White- on the lawn East of the fountain ",,Ground Plane,FALSE,on the lawn East of the fountain,FALSE,FALSE,FALSE,FALSE,FALSE,scampering thru the grass!,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,POINT (-73.9525699067954 40.7937125788106),sq_justsnackin.jpeg,images/sq_justsnackin.jpeg
-73.95257475,40.79772574,42F-PM-1017-02,42F,PM,10172018,2,Adult,Gray,Cinnamon,Gray+Cinnamon-  ,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.95257475169142 40.7977257435263),sq_littlebeauty.jpeg,images/sq_littlebeauty.jpeg
-73.95257524,40.79549154,39H-AM-1007-03,39H,AM,10072018,3,Juvenile,Gray,White,Gray+White-  ,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,POINT (-73.9525752408169 40.7954915417553),sq_notpleased.jpeg,images/sq_tailtime.jpeg
-73.95266811,40.7977012,42F-PM-1017-01,42F,PM,10172018,1,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White-  ",,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,playing,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,POINT (-73.9526681107152 40.7977012009146),sq_readyformycloseup.jpeg,images/sq_readyformycloseup.jpeg
